"#",Lens ID,Title,Abstract,Inventors
1,178-231-622-103-543,sistema in situ para o tratamento térmico aeróbico de resíduos orgãnicos biodegradáveis,,ZAVALA MIGUEL ANGEL LOPEZ
307,008-623-322-322-216,BONE MARROW ASPIRATION AND BIOPSY DEVICE.,"Presented is a device for taking a sample of the bone marrow liquid (aspiration) and a bone solid sample (biopsy) in a single intervention, which replaces specialised needles for the obtention of bone marrow and exclusive needles for bone biopsies. The inventive device has a simple mechanism that uses two groove-formed locks; the device is easily disassembled so that it is sterilised, the handle thereof being designed in such a manner that the puncture is simply performed. The needle of the device is hollow and has a guide at the inner portion thereof with two sections ranging in diameter. The guide allows the channel of the needle hollow to be opened for letting the liquid of the bone marrow to flow and be extracted, also allowing said channel to be closed so as to be introduced into the tissue. The purpose of the present invention is to facilitate the bone marrow aspiration and biopsy processes, wherein the discomfort of the patient and the time of the process are reduced.",RAMIREZ JORGE ARMANDO CORTES;;CAZARES SERGIO GALLEGOS;;ESCOBOZA JOSE RAFAEL BORBOLLA;;CALDERON LUCIO FLORES
308,108-137-257-204-767,DEVICE FOR DIRECTIONAL CURVED DRILLING AND CURVED DRILLING METHOD.,"The traditional drilling or boring method is performed in a straight line, i.e., besides being performed in a single direction it is also rotated over its own axis (thus being a system with 2 degrees of freedom). The present invention provides a third and fourth degree of freedom for controlling the diversion of the spinning axis of the cut tool intended to drill routed curved paths with a high diversion degree. The inventive device presents a cylindrical-shaped carcass sectioned in vertebrae which are attached together by joints so as to provide length and flexibility to the device. A means for transmitting rotational motion is located within the carcass, said means having a length slightly higher than that of the carcass and being actuated by a motive source located at one end portion thereof, a cut tool being located on the opposite end portion for allowing the carcass to access, the cut tool leading the first vertebra by a control means, thus defining the curved drilling path.",ZUNIGA ALEX ELIAS;;GONZALEZ CIRO ANGEL RODRIGUEZ;;CAMPOS FRANCISCO JAVIER CASTILLO
309,149-858-316-066-93X,FOLD-FORMED COLLAPSIBLE SYSTEM FOR TUBULAR BODIES.,"The invention relates to a collapsible system comprising a tubular body formed by collapsible units. Curved and straight prefolds are marked out in order to form the collapsible units. When an axial force is exerted thereon, the prefolds contract, reducing the length of the tubular body such that one end of the tube closes to form a cone-like structure and the other end opens so that the cone can be inserted therein, thereby dissipating the force applied. In addition, the system can return to the original shape thereof depending on the material used. The collapsible units can be applied to any material that can be used to form a cylindrical body, such as metal, plastic or paper. The invention can be used, for example, to dissipate force in a collision between two bodies housing the above system therebetween or as a system for compacting packages and containers.",TODA NAOKO TAKEDA;;COSTA RICARDO ELIZONDO;;GARZA SANDRA FERREYRO
310,064-060-705-075-130,ENERGY-SAVING LED-BASED LIGHTING DEVICE.,"The invention relates to an energy-saving lighting device formed by light-emitting diodes (LEDs) which use a scanning technique in order to reduce the amount of energy required for lighting. Said scanning technique is performed by an efficient circuit which determines the lighting times and sequence of each LED or group of LEDs. The invention is not restricted to the use of LEDs, but can also be used to control other types of elements which can be sequenced without altering the useful life or operation thereof. This case involves the use of speeds that LEDs can withstand that are beyond that of the human eye, at which each LED or group of LEDs turns on and off at a frequency imperceptible to the human eye. The invention also relates to voltage reduction solutions using electronic means and current rectification using the LEDs that are also used for lighting.",ROVIRA NOEL LEON;;SAMANIEGO NORMA FRIDA ROFFE;;RICO MANUEL MORENO;;PACHECO JUAN PABLO HURTADO;;CANO OLIVIA MARICELA BARRON
311,190-388-231-236-461,"SURVEYING SYSTEM FOR EVALUATING LEARNING IN ON-LINE AND/OR MOBILE PROCESSES, AND CONTROL METHOD.","The present invention is a learning evaluation method. Said method is developed for satisfying the need of evaluating students learning in mobile or on-line environments, having the trust and security that the examined will not use forbidden events, and the advantage that no person is required to survey the examined during the evaluation time. The aforementioned characteristics are achieved by designing an architecture that comprises: data processing units, computer accessories and computer application components useful for performing the inventive method.",FLORES JUAN ARTURO NOLASCO;;MARTINEZ ALEJANDRO ESTABAN MARCUS
312,098-215-481-642-315,IMPROVED MEAT PRODUCTS THROUGH THE ADDITION OF CHIA SEEDS (SALVIA HISPANICA L).,"Before now the growing and consumption of chia seeds (Salvia hispanica L.) were higher and widespread within the population. However, the current use of chia seeds is limited to the growing region and the application thereof restricted to few products obtained from the leaves and stalks thereof such as water and tea. Chia seeds are also a natural source rich in fatty acids such as omega 3 and omega 6, antioxidants, soluble dietary fibre and proteins, which has not been valued nor used; however, regarding the increased tendency of the population to consume products having a high nutritional value and low cost, the present invention has been developed, the same consisting in an improved meat product that discloses the effects obtained by adding ground chia seeds as an ingredient different from meat; chia seeds increase the nutritional value of the meat product, also reducing cooking time and increasing the weight yield of the final meat product.",MASCARUA JOAQUIN ACEVEDO;;MARTINEZ ISABEL ALEJANDRA CAVADA;;ROMERO SILVIA MONICA GARCIA;;RAMIREZ MARIA DEL SOCORRO TAMEZ;;FLORES MARIO FLAVIO DE JESUS MARIN
313,146-908-813-531-015,METHOD FOR OBTAINING MUCILAGE FROM SALVIA HISPANICA L.,"Process for extracting mucilage from Salvia hispanica, a plant of the genus and species of Salvia hispanica Linnaeus, Lamiaceae or Labiate, which is commercially known as: White chia seeds, mixture of different colour chia seeds, black chia seeds golden chia seeds, Anutra and Salba, the process being characterised in that it includes the following main steps: Bringing chia seeds into contact with water so as to obtain a product best known as: Mucilage. The mucilage thus obtained is subjected to extraction processes using sonication and/or stirring methods, the extract being separated by a high pressure process so as to obtain an improved yield, the drying and pulverization stages are also included. The invention further includes some uses of aqueous and dry mucilage previously obtained by the aforementioned process in the food, cosmetic and pharmaceutical industry.",MASCARUA JOAQUIN ACEVEDO;;RAMIREZ MARIA DEL SOCORRO TAMEZ;;FLORES MARIO FLAVIO DE JESUS MARIN;;MUNOZ JUAN ANTONIO NEVERO;;ALMADA LUIS ANTONIO GARAY
314,017-452-337-181-586,RECOVERY AND PURIFICATION OF B-PHYCOERYTHRIN PRODUCED BY PORPHYRIDIUM CRUENTUM USING AQUEOUS TWO-PHASE SYSTEMS AND ISOELECTRIC PRECIPITATION.,"The present invention is focused to a novel process wherein the Porphyridium cruentum biomass is initially subjected to a cell rupture step and subsequently to recovery and purification steps for obtaining purified B-phycoerythrin (BPE) protein dye using aqueous two-phase systems. The recovery steps mainly include an isoelectric precipitation followed by an extraction step, then the biomass is subjected to an ultra filtration step so as to remove polymer (PEG) and obtain a dye having a purity higher than 4.0, which is measured as the ratio between absorbances at 545 nm and 280 nm (purity of BPR= Abs545 nm / Abs543 nm).",PALOMARES MARCO ANTONIO RITO;;LOZANO JORGE ALEJANDRO BENAVIDES;;MIRELES TANHIA DENYS HERNANDEZ
315,031-307-618-651-608,PROCESS FOR OBTAINING OIL FROM OLEAGINOUS SEEDS.,"The present invention refers to an essential oil product obtained from chia seeds, which mainly refers to the genus and species of Salvia hispanica pertaining to any of the following families: Labiate or Lamiaceae or Linnaeus, which also includes the varieties commercially known as: White chia seeds, mixture of different colour chia seeds, black chia seeds golden chia seeds, Anutra and Salba; the invention also refers to the process for extracting oil therefrom. According to one embodiment, chia seeds may be toasted in order to optimise the yield thereof. Seeds are pressed for extracting the oil therefrom. The remaining seed paste (dough) is separated so that it may be used in further processes. The extracted oil is filtrated for separating the seed rests and subsequently deodorised using active carbon. The resulting oil is bottled for the preservation thereof and then used in different industries such as food, cosmetic, artistic, potting and fur trade industries.",MASCARUA JOAQUIN ACEVEDO;;MARTINEZ ISABEL ALEJANDRA CAVADA;;ROMERO SILVIA MONICA GARCIA;;RAMIREZ MARIA DEL SOCORRO TAMEZ;;FLORES MARIO FLAVIO DE JESUS MARIN
316,091-456-551-536-730,ENERGY-SAVING LED-BASED LIGHTING DEVICE,"The invention relates to an energy-saving lighting device formed by light-emitting diodes (LEDs) which use a scanning technique in order to reduce the amount of energy required for lighting. Said scanning technique is performed by an efficient circuit which determines the lighting times and sequence of each LED or group of LEDs. The invention is not restricted to the use of LEDs, but can also be used to control other types of elements which can be sequenced without altering the useful life or operation thereof. This case involves the use of speeds that LEDs can withstand that are beyond that of the human eye, at which each LED or group of LEDs turns on and off at a frequency imperceptible to the human eye. The invention also relates to voltage reduction solutions using electronic means and current rectification using the LEDs that are also used for lighting.",LEON ROVIRA NOEL;;ROFFE SAMANIEGO NORMA FRIDA;;MERENO RICO MANUEL;;HURTADO PACHECO JUAN PABLO;;BARRON CANO OLIVIA MARICELA
317,042-325-879-252-89X,ELECTRO THERMAL DEVICE FOR THE CONTROL OF TEMPERATURE IN FABRICS.,"The present invention describes an Electro Thermal Device for the control of temperature in fabrics, which is based on the Peltier effect, also being portable and fabric adapted. Said device emits heat and/or cold depending on the needs of the user, thus being used to maintain high and/or low the garment and/or bed linen temperature. The device is regulated by a control system including a temperature sensor, a controller and Peltier modules. The inventive device is characterised in that it may be manually activated and the electric feeding supplied from common and commercial batteries, it also being electrically fed from the exterior, requiring 12V DC from automobiles, and/or 120V AC from outlets, having the advantage of a low power consumption due to a system for controlling temperature.",TODA NAOKO TAKEDA;;ROVIRA NOEL LEON;;SAMANIEGO NORMA FRIDA ROFFE;;LEIJA DAMIAN SEGURA
318,183-835-650-623-966,OPTICAL SIGNAL PHASE REGENERATOR FOR FORMATS OF DIFFERENTIAL MODULATION WITH PHASE CHANGES,"The invention relates to a device for regenerating the phase of an optically modulated signal with phase changes and based on two and three replicas, wherein the replicas refer to the number of identical signals that are obtained form the input signal. This regenerator is capable of regenerating the phase and period of any format of modulation of optical communications systems which use differential modulation with phase changes, such as: DPSK, DQPSK, RZ-DQPSK, RZ-D8PSK, D8PSK, RZ-D16PSK, D16PSK. The regenerator design presented involves the regenerator being placed after the multiplexer of a communications system and before the signal modulators and/or decoders. Thus the regenerator receives the signal leaving the multiplexer and this signal is input in an amplitude modulator.",CASTANON AVILA GERARDO ANTONIO;;ALDAYA GARDE IVAN ARITZ
319,156-045-156-905-567,METHOD FOR OBTAINING MUCILAGE FROM SALVIA HISPANICA L.,"The invention relates to a method for obtaining Salvia hispanica L. seed mucilage, comprising steps involving defattening, hydration with water, solubilisation, high-pressure filtration, dehydration and pulverisation for subsequent packaging and storage of the pulverised mucilage. Mucilage solubilisation, which is the critical step of said method, involves mechanical stirring and/or sonication and is directly proportional to the pulverised mucilage yield which is greater than 15 %. The invention also characterises the pulverised mucilage and demonstrates the ability thereof to form gels, emulsions and/or flocculants in the food, cosmetic and pharmaceutical industries.",MARIN FLORES MARIO FLAVIO DE J;;ACEVEDO MASCARUA JOAQUIN;;TAMEZ RAMIREZ MARIA DEL SOCORR;;NEVERO MUNOZ JUAN ANTONIO;;GARAY ALMADA LUIS ANTONIO
320,188-272-534-934-703,CONTROL SYSTEM AND METHOD FOR THE ENERGY DISTRIBUTION OF A VEHICLE,"This invention relates to a ""Control System for the Energy Distribution of a Vehicle with an Inertial Switch"" for controlling the load devices which consume engine power, such as the air conditioning compressor, alternator or any other accessory of the same type, wherein said devices are enabled or disabled on the basis of the inertial status of the vehicle, such that the engine can perform the task of transmitting all the power thereof to the drive train. This control system improves automobile performance in both acceleration response and fuel consumption. The proposed system comprises: an inertial switch connected to a control unit having at least one input for at least one sensor for the automobile load devices (DCA) and at least one output for at least one DCA, that operates using the control method that comprises sensing measurable parameters of at least one DCA, for example: temperature, battery load and transmitting same to the control unit, for comparison of the sensed values with the predetermined ones and in response transmitting an on or off signal to the DCA, thereby increasing or decreasing the engine power available to the drive train, so that when more engine power is needed it is available, since the DCA are temporarily disabled in certain safe operation ranges and parameters.",BREMER BREMER MARTIN HERNANN;;CRUZ IBARRA COAMIN RICARDO
321,191-843-529-683-748,METHOD FOR OBTAINING OIL FREE FROM OIL SEED SOLVENTS,"The invention relates to a method for obtaining oil free from Salvia hispánica L. seed solvents, including steps in which the seed is selected and placed in a fabric filter for pressing in order to release the oil which is subsequently filtered, deodorised and packaged. The resulting oil contains no trans fatty acids since it has not been exposed to high temperatures and the essential fatty acids are maintained in the original form thereof. In addition, the invention characterises the Chia oil obtained and demonstrates the use of said oil in different sectors such as food, cosmetics, art and fur.",MARIN FLORES MARIO FLAVIO DE J;;ACEVEDO MASCARUA JOAQUIN;;CAVADA MARTINEZ ISABEL ALEJAND;;GARCIA ROMERO SILVIA MONICA;;TAMEZ RAMIREZ MARIA DEL SOCORR
322,099-575-893-726-238,METHOD FOR OBTAINING MUCILAGE FROM SALVIA HISPANICA L.,"The invention relates to a method for obtaining Salvia hispanica L. seed mucilage, comprising steps involving defattening, hydration with water, solubilisation, high-pressure filtration, dehydration and pulverisation for subsequent packaging and storage of the pulverised mucilage. Mucilage solubilisation, which is the critical step of said method, involves mechanical stirring and/or sonication and is directly proportional to the pulverised mucilage yield which is greater than 15 %. The invention also characterises the pulverised mucilage and demonstrates the ability thereof to form gels, emulsions and/or flocculants in the food, cosmetic and pharmaceutical industries.",MARIN FLORES MARIO FLAVIO DE J;;ACEVEDO MASCARUA JOAQUIN;;TAMEZ RAMIREZ MARIA DEL SOCORR;;NEVERO MUNOZ JUAN ANTONIO;;GARAY ALMADA LUIS ANTONIO
323,142-435-654-491-358,METHOD FOR OBTAINING OIL FREE FROM OIL SEED SOLVENTS,"The invention relates to a method for obtaining oil free from Salvia hispánica L. seed solvents, including steps in which the seed is selected and placed in a fabric filter for pressing in order to release the oil which is subsequently filtered, deodorised and packaged. The resulting oil contains no trans fatty acids since it has not been exposed to high temperatures and the essential fatty acids are maintained in the original form thereof. In addition, the invention characterises the Chia oil obtained and demonstrates the use of said oil in different sectors such as food, cosmetics, art and fur.",MARIN FLORES MARIO FLAVIO DE J;;ACEVEDO MASCARUA JOAQUIN;;CAVADA MARTINEZ ISABEL ALEJAND;;GARCIA ROMERO SILVIA MONICA;;TAMEZ RAMIREZ MARIA DEL SOCORR
324,176-229-094-039-107,FLAT VACUUM SOLAR COLLECTOR HAVING CHAMBER-TYPE HEADS,"The invention relates to a flat solar collector comprising individual vacuum chambers. The invention is formed by two heads and a series of parallel tubes having high transmittance in the solar spectrum, which is disposed between said heads. The opposite side of the heads is provided with vacuum chambers which cover the connections of the conducting tubes. One of the vacuum chambers is characterised in that it is fitted with a vacuum valve at one end thereof. In addition, conducting tubes are disposed inside the aforementioned tubes having high transmittance in the solar spectrum and said conducting tubes are in turn connected to collector plates, all under vacuum conditions which minimise convection energy losses. When the conducting tubes are configured in series, the collector can raise the temperature of the working fluid to above 200° C. All of the above is performed in a novel, simple and economical manner.",LEON ROVIRA NOEL;;GARZA CORDOVA ALEJANDRO;;MANRIQUE VALADEZ JOSE ANGEL
325,030-779-041-045-96X,RECOVERY AND PURIFICATION OF B-PHYCOERYTHRIN PRODUCED BY PORPHYRIDIUM CRUENTUM USING TWO-AQUEOUS-PHASE SYSTEMS AND ISOELECTRIC PRECIPITATION,"This invention focuses on a novel process in which Porphyridium<I/>cruentum<I/>biomass first undergoes a stage of cellular disruption and subsequently stages of recovery and purification in order to achieve the purified B-phycoerythin (BFE) protein dye, using isoelectric precipitation and two-aqueous-phase systems. The steps of recovery and purification include isoelectric precipitation followed by a step of liquid/liquid extraction by means of two-aqueous-phase systems that use polyethylene glycol (PEG) and phosphate salts. The BFE protein dye obtained in the two-aqueous-phase extraction step undergoes an ultrafiltration step in order to remove the polymer (PEG) and to obtain a dye with a purity greater than 4.0 defined as the relationship between the absorbencies at 545 and 280 nm (BFE purity = Abs545 nm/Abs280 nm).",RITO PALOMARES MARCO ANTONIO;;BENAVIDES LOZANO JORGE ALEJAND;;HERNANDEZ MIRELES TANHIA DENYS
326,192-231-491-168-693,FLAT VACUUM SOLAR COLLECTOR HAVING CHAMBER-TYPE HEADS,"The invention relates to a flat solar collector comprising individual vacuum chambers. The invention is formed by two heads and a series of parallel tubes having high transmittance in the solar spectrum, which is disposed between said heads. The opposite side of the heads is provided with vacuum chambers which cover the connections of the conducting tubes. One of the vacuum chambers is characterised in that it is fitted with a vacuum valve at one end thereof. In addition, conducting tubes are disposed inside the aforementioned tubes having high transmittance in the solar spectrum and said conducting tubes are in turn connected to collector plates, all under vacuum conditions which minimise convection energy losses. When the conducting tubes are configured in series, the collector can raise the temperature of the working fluid to above 200° C. All of the above is performed in a novel, simple and economical manner.",LEON ROVIRA NOEL;;GARZA CORDOVA ALEJANDRO;;MANRIQUE VALADEZ JOSE ANGEL
327,007-019-589-788-018,FLAT VACUUM SOLAR COLLECTOR HAVING CHAMBER-TYPE HEADS.,"The invention relates to a flat solar collector comprising individual vacuum chambers. The invention is formed by two heads and a plurality of parallel glass tubes arranged therebetween. There are provided vacuum chambers in an opposite relationship with the heads which conceal the connections of the conducting tubes. One of the vacuum chambers is characterised in that it is fitted with a vacuum valve at one end thereof. In addition, conducting tubes are disposed inside the glass tubes, said conducting tubes being in turn connected to collector plates, this arrangement being placed under vacuum conditions which minimise convection energy losses. When the conducting tubes are configured in series, the collector may increase the temperature of the working fluid to above 200 DEG C. The aforementioned process is performed in a novel, simple and economical manner.",ROVIRA NOEL LEON;;CORDOBA ALEJANDRO GARZA;;VALADEZ JOSE ANGEL MANRIQUE
328,140-223-781-501-232,inibição do crescimento de células cancerìgenas por extratos de feijão preto (phaseolus vulgaris l),"INIBIçãO DO CRESCIMENTO DE CéLULAS CANCERìGENAS POR EXTRATOS DE FEIJãO PRETO (PHASEOLUS VULGARIS L). A presente invenção refere-se a um grupo de compostos fitoquímicos extraídos de feijões pretos inteiros germinados ou não germinados (Phaseolus vulgaris L) e/ou suas frações trituradas secas, tais como envoltórios da semente ou cascas, e cotilédones é descrito. Esses fitoquímicos são classificados como fenólicos, tais como polifenóis, flavonóides, cumarinas e taninas, triterpenos, tais como saponinas, fitosteróis e outros compostos antioxidantes que provaram ser eficazes para diminuir proliferação cancerígena de células de câncer de mama hormónio-dependente (MCH-7), hepático hormónio-independente (HepG2) e de cólon (Caco2). Eles também protegem eficazmente contra dano químico induzido por DMBA e, além disso, impedem câncer induzido por esse produto químico em ratos Wistar e também reduziram o tamanho de tumor quando consumidos após detecção do tumor. Metanol, acetona, etanol, água e misturas desses solventes foram usadas para obter os extratos de feijões pretos brutos, cozidos e germinados de diferentes variedades, a partir do grão inteiro e das cascas. O processo de formação de malte de feijão preto produziu extratos ricos em formas de aglicona dos compostos previamente mencionados que eram mais biologicamente ativos contra a proliferação de células cancerígenas MCF-7. Extratos brutos, extratos refinados por HPLC C-18 e extratos fracionados podem ser usados no tratamento, profilaxia, alívio ou defesa contra uma variedade de cânceres dependentes e independentes de hormónio. Os extratos e compostos têm utilidades adicionais, por exemplo, menor colesterol ou menor oxidação de LDL e/ou inibem a síntese de colesterol (ou a enzima para a mesma) e/ou reduzem a fibrose hepática e/ou reduzem os sintomas de menopausa e/ou estimulam a absorção de cálcio e/ou têm atividade estrogênica, tal como atividade estrogênica de feminilização e/ou são antioxidantes, por exemplo, como um ingrediente ativo em um suplemento nutricional e/ou como um antioxidante ou colorante alimentício, cosmético ou farmacêutico.",GUTIERREZ-URIBE JANET;;SERNA-SALDIVAR SERGIO;;MORENO-CUEVAS JORGE;;HERNANDEZ-BRENES CARMEN;;GUAJARDO-TOUCHE ELSA
329,129-942-998-057-294,A COMPUTER EVENT-OCCURRING ALERT SYSTEM.,"The present invention refers to one or a plurality of alert mechatronic devices wire- or wirelessly connected to a selector, this latter element being simultaneously wire- or wirelessly connected to a computer through one of the ports thereof. The alert mechatronic devices allow the user to be aware of any event occurred in the computer by an optical and/or audible and/or tactile manner, the user therefore being aware of the event even if he/she is not paying attention to the computer itself.",DIAZ ERIC MORENO;;MESA RAFAEL RABELO;;SAMANIEGO NORMA FRIDA ROFFE;;PACHECO JUAN PABLO HURTADO
330,092-786-626-941-983,"VEHICLE MONITORING, SURVEY AND CONTROL SYSTEM USING A PDA.","The present invention comprises circuits and sensors in connection with a plurality of vehicle components which are wirelessly communicated to a PDA program for executing anti-theft, level monitoring and control functions over the parts of a vehicle. The invention comprises an onboard computer including a PDA for informing the occurrence of an intrusion event to a user concerned, and manipulating diverse functionalities of the vehicle.",DIAZ ERIC MORENO;;MESA RAFAEL RABELO;;SAMANIEGO NORMA FRIDA ROFFE
331,155-510-833-071-163,SYSTEM FOR CONTROLLING THE USER??S ENVIRONMENT.,"The present invention refers to a system for controlling the user's environment by measuring the vital and physiological signs thereof such as temperature, blood pressure and/or heart rate. The system includes a processing unit, a port useful as an interface with the devices to be controlled and a circuit for measuring signs, temperature, blood pressure and heart rate, as well as a control program which processes data for controlling the devices that perform the required functions for changing the environment (light, sound, temperature and furniture). The control system may be configured by the user using the program included in the processing unit.",DIAZ ERIC MORENO;;MESA RAFAEL RABELO;;SAMANIEGO NORMA FRIDA ROFFE;;PACHECO JUAN PABLO HURTADO
332,125-906-935-478-32X,REVERSE OSMOSIS CENTRIFUGAL FILTER HAVING A VORTEX-INCREASED FLOW.,"The present invention refers to a device and method for filtrating liquid-suspended solutes by reverse osmosis. The pressure required for performing said reverse osmosis is achieved by the centrifugal principle. One or a plurality of membrane containers are attached to a main central rotating axis by discs, tubes, or any other fastening means. The central axis is rotated at a speed enough to generate the required osmotic pressure. The containers are located in an annular arrangement. Each container has a rotating central axis for originating Taylor vortices upon rotation thereof, which are useful for avoiding the polarization of the semi permeable membrane concentration, thus increasing the pure liquid flow through out the membranes due to the vortex-generated shear forces. The central axis of each container includes a driving body i.e., a helix, which is actuated by the outlet flow of the filtrated liquid, and which provokes the axis to spin. The rejected liquid is returned to the ma in central rotating axis, thus recovering the potential energy of said liquid. The membranes have a longer useful life due to the formation of Taylor vortices.",ROVIRA NOEL LEON;;SIERRA DAVID ALEJANDRO SILVA;;SADA ROGELIO MARTINEZ
333,147-580-042-001-170,MICROCONTROLLED CUSHION AND CONTROL METHOD FOR PREVENTING ULCERS.,"The present invention refers to an air cushion assembled in an air chamber matrix for treating decubitus ulcers. The inventive cushion is useful for measuring pressure points, and equaling or uniformly distributing the pressure in the whole cushion, so that there is no point having more pressure than other, as well as controlling temperature and/or humidity in each pressure point. The system is activated under any change in a pressure point. The inventive system is implemented in an air cushion, but it may be also used for manufacturing mattresses, car, bus, and aircraft seats, as well as furniture.",LEMISZKA MIROSLAW ALEXANDER;;CRUZ MARCIAL IVAN REYES DE LA;;ASSAD GRACIANO DIECK;;CHAPA SERGIO OMAR MARTINEZ
334,110-386-588-835-685,MECHATRONIC SYSTEM AND METHOD FOR POSITIONING BOLTS IN ORDER TO PROVIDE A FRAME WITH A RECONFIGURABLE SURFACE USING MEMORY EFFECT ACTUATORS,"The invention relates to a reconfigurable computer-controlled system based on the positioning of bolts. A greater density of bolts per unit area increases the variety of figures or shapes that can be defined by a frame or tool used in the industry, such that it is no longer necessary to construct rigid surfaces with each change made to the shape of the product to be produced or surface to be formed. The use of the memory effect material as an actuator in the reconfigurability mechanism is the key to the success of the reconfigurable system and the control system owing to the permissibility of small bolts which can be adapted to standard sizes and shapes. The invention also relates to the application of the mechatronic system which uses the positioning of bolts for the reconfigurability of surfaces in order to manufacture and shape materials.",CORTES RAMIREZ JORGE ARMANDO;;DE LA GARZA GIACOMAN ROGELIO;;VALDES NAKAMURA RUTH OSEKI;;BERLANGA ZAMARRON RODRIGO
335,064-109-893-848-157,FASTENING MEANS BASED ON STRAIGHT FOLDS APPLIED TO LAMINATED MATERIALS.,"Disclosed is a fastening means based on straight folds applied to laminated materials, which comprises two identical elements of laminated material that are attached or assembled therebetween, such as paper, board, plastic, metal or any other material that is sufficiently rigid and flexible in order to be structured and folded. The purpose of the invention is to provide a novel pressing or fastening mechanism based on straight folds applied to laminated materials, which is intended for use in the design of articles such as clips, briefcases, clamps, articles bearing laminate objects, corner protectors equal to or lower than 90 degrees for flat surfaces, and as a device for placing memos, instructions or any other note. The invention can be used to produce products having an innovative design at a low cost using traditional methods such as die cutting and punching; reduces the production and labour costs of same.",TODA NAOKO TAKEDA
336,192-207-852-962-754,SEMI-AUTOMATIC MACHINE FOR POLISHING PIECES HAVING COMPLEX CURVED-SHAPED SURFACES AND METHOD FOR OPERATING THE SAME.,"Described is a semi-automatic machine for polishing pieces having complex curved-shaped surfaces and method for operating the same, which is a complex equipment designed to polish pieces having a complex geometry such as turbine vanes. Said machine is based on two types of operations: a manual operation for polishing pieces having complex curved-shaped surfaces where a piece is held and the surface to be polished pressed against an abrasive band in continuous motion, and a semi-automatic operation which provides two additional axis to two manually operated axis, which may be automatically, or semi-automatically operated provided that the piece geometry is irregular due to design changes or variations in the material thickness; the operation of the additional axis may be semi-automatic so that the operator may control the movement, and the spin change according to the provided piece geometry. The inventive machine is characterised in that it is reconfigurable, i.e., besides being useful for different vane sizes by performing simple setting changes, the machine also has the capability of including additional components such as sensors, etc., for performing additional functions.",GARZA HORACIO AHUETT;;QUIROGA CARLOS TRINIDAD GARZA;;SANCHEZ JOAQUIN ACA;;ZAPATA JOSE LUIS SERRANO;;PENA MARCO POLO RAMOS;;PORTO PEDRO NEL GARCIA;;ARCOS ROBERTO DELGADO;;GUTIERREZ ARTURO MOLINA
337,013-847-886-660-222,ENERGY CONSERVATION USING AN IMPROVED ELECTRONIC SCANNING CIRCUIT,"The invention relates to the use of electronic scanning as an energy conservation tool. According to the invention, the electronic scanning is carried out using a circuit which performs a determined sequence for any device, such as a decimal counter, or using a microcontroller. Electronic devices, such as LEDs which can be replaced by other sequential electronic devices, are connected to the outlet of the circuit. In addition, the invention exploits the fact that, at a switching-on frequency of 60 Hertz, a human cannot distinguish the flicker caused by the devices switching on and off.",LEON ROVIRA NOEL;;MORENO RICO MANUEL;;ROFFE SAMANIEGO NORMA FRIDA
338,022-506-072-041-036,CANCER CELL GROWTH INHIBITION BY BLACK BEAN (PHASEOLUS VULGARISL) EXTRACTS.,"A group of phytochemical compounds extracted from whole germinated or not germinated black beans (Phaseolus vulgaris L) and/or their dry milled fractions such as seed coats or hulls and cotyledons is described. These phytochemicals are classified as phenolics, such as polyphenols, flavonoids, coumarins, and tannins, triterpenes such as saponins, phytosterols and other antioxidant compounds that proved to be effective to decrease cancer proliferation of hormone dependent mammary (MCF-7), hormone independent hepatic (HepG2) and colon (Caco2) cancer cells. They also effectively protect against chemical damage induced with DMBA and furthermore prevented cancer induced by this chemical in Wistar rats and also reduced tumor size when consumed after tumor detection. Methanol, acetone, ethanol, water and mixtures of these solvents were used to obtain the extracts from raw, cooked, and germinated black beans of different varieties, both from the whole grain and the hulls. The black bean malting process produced extracts rich in aglycone forms of the previous mentioned compounds that were more biologically active against MCF-7 cancer cell proliferation. Both raw extracts, C-18 HPLC refined extracts and fractionated extracts may be used in the treatment, prophylaxis, amelioration or defense against a variety of hormone dependent and independent cancers. The extracts and compounds have additional utilities, e.g., lower cholesterol or lower oxidation of LDL and/or inhibit cholesterol synthesis (or the enzyme therefor) and/or reduce liver fibrosis and/or reduce symptoms of menopause and/or stimulate calcium absorption and/or have estrogenic activity such as feminizing estrogenic activity and/or are antioxidants, for instance, as an active ingredient in a nutritional supplement and/or as a food, cosmetic or pharmaceutical antioxidants or colorants.",GUTIERREZ-URIBE JANET;;SERNA-SALDIVAR SERGIO;;MORENO-CUEVAS JORGE;;HERNANDEZ-BRENES CARMEN;;GUAJARDO-TOUCHE ELSA
339,105-861-970-945-251,ENERGY CONSERVATION USING AN IMPROVED ELECTRONIC SCANNING CIRCUIT,"The invention relates to the use of electronic scanning as an energy conservation tool. According to the invention, the electronic scanning is carried out using a circuit which performs a determined sequence for any device, such as a decimal counter, or using a microcontroller. Electronic devices, such as LEDs which can be replaced by other sequential electronic devices, are connected to the outlet of the circuit. In addition, the invention exploits the fact that, at a switching-on frequency of 60 Hertz, a human cannot distinguish the flicker caused by the devices switching on and off.",LEON ROVIRA NOEL;;MORENO RICO MANUEL;;ROFFE SAMANIEGO NORMA FRIDA
